episode - ,187,reward = ,-90213
episode - ,188,reward = ,-112693
episode - ,189,reward = ,-93077
episode - ,190,reward = ,-100980
episode - ,191,reward = ,-107397
episode - ,192,reward = ,-85569
episode - ,193,reward = ,-90743
episode - ,194,reward = ,-94281
episode - ,195,reward = ,-232667
episode - ,195,reward = ,-228763
episode - ,196,reward = ,-423087
episode - ,197,reward = ,-418859
episode - ,198,reward = ,-337740
episode - ,199,reward = ,-405686
episode - ,200,reward = ,-362966
episode - ,201,reward = ,-404998
episode - ,202,reward = ,-362820
episode - ,203,reward = ,-405889
episode - ,204,reward = ,-384766
episode - ,205,reward = ,-419963
episode - ,206,reward = ,-297930
episode - ,207,reward = ,-353015
episode - ,208,reward = ,-303722
episode - ,209,reward = ,-412436
episode - ,210,reward = ,-379037
episode - ,211,reward = ,-499677
episode - ,212,reward = ,-375019
episode - ,213,reward = ,-352748
episode - ,214,reward = ,-362564
episode - ,215,reward = ,-344517
episode - ,216,reward = ,-381086
episode - ,217,reward = ,-303853
episode - ,218,reward = ,-420517
episode - ,219,reward = ,-449891
episode - ,220,reward = ,-327430
episode - ,221,reward = ,-417515
episode - ,222,reward = ,-689343
episode - ,223,reward = ,-507958
episode - ,224,reward = ,-514458
episode - ,225,reward = ,-357306
episode - ,226,reward = ,-285512
episode - ,227,reward = ,-368343
episode - ,228,reward = ,-728811
episode - ,229,reward = ,-629812
episode - ,230,reward = ,-498079
episode - ,231,reward = ,-417081
episode - ,232,reward = ,-404343
episode - ,233,reward = ,-529644
episode - ,234,reward = ,-501842
episode - ,235,reward = ,-535791
episode - ,236,reward = ,-517438
episode - ,237,reward = ,-536710
episode - ,238,reward = ,-427169
episode - ,239,reward = ,-629111
episode - ,240,reward = ,-706601
episode - ,241,reward = ,-564473
episode - ,242,reward = ,-396124
episode - ,243,reward = ,-545076
episode - ,244,reward = ,-507927
episode - ,245,reward = ,-420484
episode - ,246,reward = ,-496644
episode - ,247,reward = ,-874452
episode - ,248,reward = ,-625239
episode - ,249,reward = ,-582759
episode - ,250,reward = ,-526978
episode - ,251,reward = ,-642333
episode - ,252,reward = ,-665504
episode - ,252,reward = ,-222179
episode - ,253,reward = ,-347242
episode - ,254,reward = ,-433651
episode - ,255,reward = ,-386237
episode - ,256,reward = ,-312996
episode - ,257,reward = ,-411700
episode - ,258,reward = ,-476538
episode - ,259,reward = ,-425393
episode - ,260,reward = ,-551234
episode - ,261,reward = ,-429323
episode - ,252,reward = ,-295292
episode - ,252,reward = ,-103682
episode - ,252,reward = ,-99580
episode - ,253,reward = ,-87640
episode - ,254,reward = ,-87846
episode - ,255,reward = ,-93556
episode - ,256,reward = ,-97245
episode - ,257,reward = ,-115560
episode - ,258,reward = ,-91081
episode - ,259,reward = ,-102574
episode - ,260,reward = ,-128860
episode - ,261,reward = ,-98982
episode - ,262,reward = ,-101576
episode - ,263,reward = ,-108278
episode - ,264,reward = ,-102383
episode - ,265,reward = ,-99035
episode - ,266,reward = ,-87559
episode - ,267,reward = ,-103507
episode - ,268,reward = ,-107959
episode - ,252,reward = ,-104765
episode - ,253,reward = ,-106018
episode - ,254,reward = ,-110067
episode - ,0,reward = ,-104765
episode - ,0,reward = ,-157708
episode - ,0,reward = ,-111099
episode - ,0,reward = ,-179077
episode - ,0,reward = ,-126548
episode - ,0,reward = ,-127638
episode - ,0,reward = ,-113043
episode - ,0,reward = ,-69705
episode - ,0,reward = ,-86906
episode - ,0,reward = ,-86906
episode - ,0,reward = ,-86906
episode - ,0,reward = ,-13708
episode - ,0,reward = ,-13708
episode - ,0,reward = ,-7877
episode - ,0,reward = ,-13708
episode - ,0,reward = ,-69705
episode - ,0,reward = ,-86906
episode - ,0,reward = ,-86906
episode - ,0,reward = ,-69705
episode - ,0,reward = ,-195530
episode - ,0,reward = ,-267236
episode - ,1,reward = ,-245782
episode - ,2,reward = ,-276078
episode - ,3,reward = ,-340790
episode - ,4,reward = ,-294632
episode - ,5,reward = ,-264192
episode - ,6,reward = ,-243380
episode - ,7,reward = ,-280358
episode - ,8,reward = ,-265266
episode - ,9,reward = ,-272912
episode - ,10,reward = ,-282058
episode - ,11,reward = ,-288632
episode - ,12,reward = ,-263184
episode - ,13,reward = ,-263464
episode - ,14,reward = ,-249904
episode - ,15,reward = ,-261168
episode - ,0,reward = ,-275948
episode - ,1,reward = ,-286170
episode - ,2,reward = ,-281906
episode - ,3,reward = ,-298476
episode - ,4,reward = ,-296700
episode - ,5,reward = ,-300944
episode - ,6,reward = ,-269214
episode - ,7,reward = ,-279758
episode - ,8,reward = ,-258658
episode - ,9,reward = ,-277752
episode - ,10,reward = ,-287580
episode - ,11,reward = ,-303196
episode - ,12,reward = ,-425502
episode - ,13,reward = ,-478088
episode - ,14,reward = ,-411538
episode - ,15,reward = ,-416482
episode - ,16,reward = ,-435186
episode - ,17,reward = ,-411914
episode - ,18,reward = ,-473362
episode - ,0,reward = ,-126548
episode - ,1,reward = ,-105477
episode - ,2,reward = ,-112500
episode - ,3,reward = ,-107496
episode - ,4,reward = ,-125524
episode - ,5,reward = ,-123093
episode - ,0,reward = ,-647522
episode - ,1,reward = ,-715390
episode - ,2,reward = ,-726104
episode - ,3,reward = ,-410540
episode - ,4,reward = ,-517802
episode - ,5,reward = ,-625134
episode - ,6,reward = ,-763322
episode - ,7,reward = ,-555200
episode - ,8,reward = ,-693378
episode - ,0,reward = ,-256800
episode - ,0,reward = ,-364135
episode - ,0,reward = ,-339614
episode - ,0,reward = ,-168355
episode - ,0,reward = ,-183134
episode - ,0,reward = ,-168355
episode - ,0,reward = ,-168355
episode - ,0,reward = ,-311554
episode - ,0,reward = ,-553364
episode - ,0,reward = ,-575246
episode - ,0,reward = ,-216436
episode - ,0,reward = ,-168355
